order_id,customer_id,order_date,ship_date,status,total_amount,payment_method,shipping_city
90,9617,2023-03-09,2023-03-18,cancelled,4934.62,upi,Hyderabad
91,205,2024-02-15,2024-02-21,,-4033.29,wallet,London
92,,2024-01-25,2024-02-02,,2579.42,credit_card,London
93,228,2023-04-24,2023-05-04,pending,3971.86,debit_card,Jaipur
94,259,2022-03-07,2022-03-12,pending,4163.45,debit_card,Toronto
95,46,2022-08-05,2022-08-08,cancelled,4645.73,debit_card,New York
96,47,2025-11-17,2025-11-27,cancelled,3834.02,cash,Hyderabad
97,149,2022-06-29,2022-07-09,cancelled,,credit_card,Hyderabad
98,217,2023-10-17,2023-10-20,cancelled,2603.56,upi,Ahmedabad
99,76,2025-05-16,2025-05-17,returned,2998.41,cash,
100,171,2022-11-09,2022-11-13,cancelled,3505.03,debit_card,Jaipur
101,217,2025-10-20,2025-10-27,returned,1961.4,wallet,Mumbai
102,156,2024-07-26,2024-08-03,pending,3482.82,credit_card,Bangalore
103,219,2025-10-23,2025-10-25,delivered,1784.36,cash,Delhi
104,251,2023-09-12,2023-09-19,cancelled,3881.49,,Delhi
105,251,2025-08-06,2025-08-07,returned,2938.38,cash,Bangalore
106,33,2025-01-05,2025-01-06,returned,1975.04,credit_card,Hyderabad
107,61,2023-01-06,2023-01-07,shipped,2778.06,credit_card,Delhi
108,187,2025-01-19,2025-01-20,returned,1249.2,upi,Kolkata
109,262,2023-03-06,2023-03-07,returned,1193.13,upi,Surat
110,282,2023-06-07,2023-06-10,returned,2006.3,upi,London
111,191,2025-02-28,2025-03-10,returned,828.57,wallet,Jaipur
112,169,2025-08-04,2025-08-09,shipped,740.18,credit_card,London
113,251,2022-07-15,2022-07-20,cancelled,2762.2,wallet,Pune
114,66,2026-11-22,2026-11-25,delivered,721.92,wallet,Ahmedabad
115,182,2024-08-17,2024-08-24,pending,2607.77,upi,New York
116,123,2022-07-11,2022-07-16,returned,2775.26,cash,New York
117,64,2026-08-31,2026-09-01,returned,3573.66,cash,New York
118,269,2023-04-06,2023-04-09,pending,2573.29,wallet,Delhi
119,9646,2023-08-25,2023-09-04,pending,1974.17,,Mumbai
120,9911,2023-09-04,2023-09-07,shipped,-2016.32,credit_card,New York
121,241,2024-03-20,2024-03-23,shipped,2686.77,upi,London
122,98,2023-08-07,2023-08-13,delivered,4505.98,cash,London
123,205,2024-10-24,2024-10-31,pending,665.77,upi,Surat
124,223,2024-09-10,2024-09-17,delivered,1246.26,cash,London
125,53,2025-12-06,2025-12-10,pending,4962.83,debit_card,Surat
126,27,2024-02-18,,pending,1116.66,upi,Hyderabad
127,25,2023-01-08,2023-01-14,cancelled,1067.77,credit_card,New York
128,67,2023-11-10,2023-11-20,pending,2649.02,,New York
129,99,2025-12-14,2025-12-23,,3098.86,wallet,Toronto
130,287,2023-12-13,2023-12-15,pending,4555.14,debit_card,
131,98,2024-03-25,2024-04-03,cancelled,4857.98,credit_card,Hyderabad
132,5,2024-11-16,2024-11-25,,1301.58,credit_card,Chennai
133,139,2022-04-16,2022-04-20,pending,-2677.63,upi,Pune
134,151,2023-10-27,2023-10-28,returned,4121.42,wallet,London
135,132,2025-07-06,2025-07-14,shipped,1110.99,cash,Ahmedabad
136,93,2024-07-29,2024-08-02,shipped,2852.59,debit_card,Delhi
137,,2025-08-14,2025-08-23,pending,695.08,credit_card,Toronto
138,74,2025-07-08,2025-07-09,shipped,4788.51,cash,Chennai
139,80,2023-05-15,2023-05-24,cancelled,624.15,credit_card,Pune
140,147,2023-04-08,2023-04-10,pending,2464.18,credit_card,Surat
141,220,2024-12-22,2024-12-29,pending,759.6,upi,Toronto
142,40,2022-01-05,2022-01-08,pending,1608.08,upi,Kolkata
143,94,2024-02-28,2024-03-07,shipped,3470.17,wallet,Jaipur
144,118,2024-02-27,2024-03-07,pending,2893.6,upi,Bangalore
145,31,2023-12-17,2023-12-20,shipped,1480.54,debit_card,London
146,194,2022-02-23,2022-02-24,pending,3509.99,debit_card,Surat
147,214,2022-11-03,2022-11-06,pending,3743.05,credit_card,Bangalore
148,6,2024-03-22,2024-03-30,cancelled,2775.24,credit_card,Bangalore
149,206,2025-06-21,2025-06-30,cancelled,3029.37,upi,Hyderabad
150,54,2022-06-09,2022-06-15,delivered,149.96,credit_card,Delhi
151,290,2022-04-02,2022-04-03,cancelled,249.76,cash,Bangalore
152,,2023-11-10,2023-11-12,pending,2515.86,cash,New York
153,119,2023-03-18,2023-03-21,delivered,4967.15,upi,
154,199,2023-05-05,,delivered,4790.5,credit_card,Ahmedabad
155,152,2022-11-27,2022-12-03,delivered,455.25,debit_card,Surat
156,187,2023-08-11,2023-08-14,cancelled,2209.73,credit_card,
157,9873,2025-12-04,2025-12-06,cancelled,1460.4,cash,Ahmedabad
158,93,2022-08-10,2022-08-17,cancelled,1005.36,wallet,Ahmedabad
159,110,2023-10-18,2023-10-25,shipped,321.38,cash,New York
160,73,2022-05-22,2022-05-30,pending,4357.73,upi,Kolkata
161,247,,2024-09-07,returned,1779.91,wallet,Kolkata
162,163,2022-01-30,2022-02-02,pending,2502.23,debit_card,New York
163,50,2022-03-16,2022-03-23,shipped,3485.27,credit_card,
164,158,2024-10-25,2024-11-02,returned,3248.07,debit_card,Kolkata
165,84,2025-01-16,2025-01-23,pending,3174.2,credit_card,Pune
166,279,2022-07-24,2022-07-25,pending,3341.87,credit_card,Toronto
167,212,2025-08-13,2025-08-14,delivered,4698.69,cash,Mumbai
168,213,2026-08-22,2026-08-31,shipped,4101.97,wallet,Mumbai
169,296,2024-05-28,2024-05-31,shipped,2021.56,cash,New York
170,284,2022-11-22,2022-11-24,returned,-137.94,,London
171,233,2025-07-23,2025-07-27,cancelled,3266.09,upi,Bangalore
172,297,2022-07-31,2022-08-02,delivered,544.31,credit_card,Mumbai
173,250,2025-07-05,2025-07-12,shipped,4449.67,credit_card,Kolkata
174,,,2025-06-16,shipped,4633.65,,Bangalore
175,65,2023-07-03,2023-07-05,returned,1749.28,upi,New York
176,144,2024-03-15,2024-03-25,cancelled,1564.81,upi,Surat
177,103,2025-03-07,2025-03-09,returned,2252.52,wallet,Mumbai
178,166,2024-05-29,,pending,1083.77,wallet,Hyderabad
179,198,2023-08-04,2023-08-06,returned,2809.18,cash,Kolkata
180,26,2024-10-08,2024-10-15,pending,605.1,wallet,Ahmedabad
181,207,2022-03-17,2022-03-18,delivered,-1693.58,cash,Toronto
182,25,2024-03-16,2024-03-24,pending,4244.87,debit_card,Kolkata
183,,2023-04-09,,pending,4082.58,credit_card,London
184,195,2023-07-07,2023-07-17,cancelled,2308.86,wallet,Surat
185,251,2023-07-29,2023-08-02,shipped,468.08,debit_card,Delhi
186,31,2026-09-07,2026-09-14,delivered,947.71,cash,Jaipur
187,67,2023-03-25,2023-04-02,shipped,4340.62,wallet,Bangalore
188,55,2022-08-14,2022-08-17,returned,1341.12,debit_card,Pune
189,28,2024-06-22,2024-06-29,returned,3662.69,credit_card,New York
190,57,2023-03-26,2023-04-05,cancelled,1338.23,upi,Bangalore
191,178,2025-07-28,2025-07-29,shipped,480.27,debit_card,Ahmedabad
192,7,2025-09-26,,delivered,4872.11,cash,Ahmedabad
193,9,2025-03-07,2025-03-11,delivered,2631.09,wallet,Ahmedabad
194,235,2022-01-28,2022-02-03,pending,4457.95,credit_card,Pune
195,73,2024-01-02,2024-01-09,delivered,1803.51,cash,Jaipur
196,179,2023-11-10,2023-11-15,cancelled,1553.52,upi,Mumbai
197,76,2024-08-13,2024-08-18,pending,3122.74,wallet,Ahmedabad
198,9257,2023-12-23,2023-12-26,shipped,1757.59,debit_card,Hyderabad
199,42,2023-08-19,2023-08-25,delivered,1251.16,debit_card,New York
200,297,2022-10-13,2022-10-16,cancelled,2087.4,cash,Jaipur
201,161,2024-10-28,2024-11-05,pending,1777.43,debit_card,Chennai
202,298,2024-11-14,2024-11-24,cancelled,4390.25,cash,
203,55,2023-11-14,2023-11-24,pending,2412.52,wallet,Ahmedabad
204,80,2023-09-09,2023-09-10,pending,4030.03,credit_card,Jaipur
205,29,2022-09-07,2022-09-10,returned,4103.15,credit_card,London
206,88,2024-11-13,2024-11-21,delivered,2407.53,credit_card,Pune
207,146,2024-07-25,,delivered,1520.78,cash,Bangalore
208,258,2023-03-08,2023-03-15,cancelled,2570.1,upi,New York
209,202,2022-05-20,2022-05-27,returned,4813.15,wallet,Kolkata
210,207,2022-05-19,2022-05-22,shipped,1166.2,debit_card,Bangalore
211,197,2024-05-10,2024-05-15,pending,581.22,cash,New York
212,103,2023-02-05,2023-02-10,pending,1135.23,credit_card,Toronto
213,3,2024-01-07,2024-01-09,shipped,1710.15,cash,Kolkata
214,287,2022-10-10,2022-10-17,cancelled,4371.14,,Chennai
215,129,2024-03-10,2024-03-13,returned,4840.89,wallet,Delhi
216,135,2026-10-08,2026-10-12,pending,1679.36,wallet,London
217,19,2023-12-10,2023-12-20,pending,3699.05,debit_card,Pune
218,9800,2022-02-13,2022-02-17,pending,2675.59,debit_card,Pune
219,60,2024-06-15,2024-06-21,pending,1765.43,wallet,
220,128,2022-04-27,2022-04-30,shipped,1420.15,credit_card,Delhi
221,279,2023-02-26,2023-03-04,returned,4489.22,wallet,Kolkata
222,258,2022-08-02,2022-08-12,delivered,2436.18,upi,Toronto
223,121,2025-12-01,2025-12-03,pending,116.24,cash,Pune
224,,2023-04-05,2023-04-12,returned,2667.13,upi,Surat
225,15,2023-11-30,2023-12-07,delivered,3915.24,cash,London
226,266,2023-06-17,2023-06-21,shipped,-668.04,wallet,Surat
227,138,2025-09-12,2025-09-22,cancelled,71.57,,Kolkata
228,285,2023-03-23,2023-03-25,delivered,1389.46,debit_card,Bangalore
229,9700,2023-04-22,2023-05-01,delivered,,upi,Mumbai
230,180,2022-08-12,2022-08-21,pending,396.48,,Surat
231,172,2024-04-15,2024-04-20,pending,3113.36,upi,Toronto
232,298,2025-12-30,2026-01-09,pending,172.67,wallet,Surat
233,215,2025-01-08,2025-01-17,shipped,3993.05,debit_card,Toronto
234,186,2023-04-18,2023-04-20,returned,3468.43,cash,Ahmedabad
235,118,2025-03-12,2025-03-21,delivered,1232.27,cash,Bangalore
236,9123,2023-01-04,2023-01-11,pending,,debit_card,Bangalore
237,272,2024-03-05,2024-03-12,delivered,3487.67,credit_card,Kolkata
238,210,2025-07-15,2025-07-20,returned,3790.72,wallet,New York
239,195,2023-10-19,,returned,1403.7,cash,Pune
240,92,2022-10-21,2022-10-25,shipped,2158.38,cash,Bangalore
241,133,2025-05-26,,pending,713.61,,Mumbai
242,145,2025-03-15,2025-03-18,cancelled,4156.88,credit_card,Chennai
243,60,2023-12-26,2023-12-30,returned,3639.53,upi,Mumbai
244,267,2023-10-13,2023-10-14,shipped,4746.42,debit_card,Bangalore
245,,2022-09-27,2022-10-06,shipped,,upi,New York
246,179,2024-09-18,2024-09-23,returned,4205.05,credit_card,Toronto
247,215,2024-07-04,2024-07-06,shipped,889.21,cash,New York
248,149,2023-07-03,2023-07-10,cancelled,313.41,credit_card,London
249,24,2023-09-24,2023-09-27,shipped,,credit_card,Delhi
250,171,2023-12-24,2023-12-25,shipped,2598.06,upi,Hyderabad
251,9962,2022-01-28,2022-02-06,shipped,521.58,credit_card,Delhi
252,194,2025-09-04,2025-09-09,,4311.3,wallet,Delhi
253,201,2023-02-02,2023-02-08,returned,2131.51,credit_card,Pune
254,248,2023-08-06,2023-08-10,pending,1918.22,credit_card,Hyderabad
255,245,2025-02-27,2025-03-02,cancelled,4050.31,cash,Ahmedabad
256,291,2023-04-22,2023-04-29,cancelled,1564.16,debit_card,Toronto
257,256,2023-10-04,2023-10-12,pending,3547.25,debit_card,Bangalore
258,63,2022-12-07,2022-12-09,returned,,credit_card,Chennai
259,139,2024-12-06,2024-12-16,delivered,3254.6,cash,Kolkata
260,70,2022-12-03,,shipped,1595.26,cash,Mumbai
261,81,2022-05-17,2022-05-21,cancelled,-1731.34,wallet,Chennai
262,104,2022-06-08,2022-06-12,cancelled,1407.13,wallet,Toronto
263,243,2023-03-05,2023-03-09,delivered,465.78,debit_card,Ahmedabad
264,242,2023-11-01,2023-11-05,returned,2805.12,wallet,Bangalore
265,143,2025-12-27,2026-01-04,delivered,2455.57,cash,Kolkata
266,110,,2025-06-21,returned,1918.46,upi,Kolkata
267,9281,2022-01-27,,returned,1997.49,cash,New York
268,,2024-08-27,2024-09-05,shipped,4039.08,cash,
269,32,2023-10-06,2023-10-10,shipped,3278.98,upi,New York
270,32,2022-05-14,2022-05-17,returned,3647.5,credit_card,Jaipur
271,175,2024-08-12,2024-08-22,delivered,4652.06,debit_card,Hyderabad
272,236,2022-06-16,2022-06-21,shipped,4188.17,upi,Bangalore
273,212,2023-04-08,2023-04-12,returned,893.79,wallet,New York
274,88,2022-03-17,2022-03-20,delivered,2694.36,wallet,London
275,47,2024-11-17,2024-11-25,cancelled,1311.62,cash,Mumbai
276,54,2025-07-13,2025-07-16,delivered,2112.82,credit_card,Surat
277,295,2025-11-23,2025-11-27,shipped,1270.35,wallet,Pune
278,296,2024-03-31,2024-04-03,returned,4612.54,upi,Mumbai
279,159,2022-10-17,2022-10-20,shipped,2308.33,credit_card,Bangalore
280,192,2022-01-11,2022-01-19,cancelled,2753.65,credit_card,Kolkata
281,69,2024-03-29,2024-04-05,pending,2988.72,debit_card,Kolkata
282,1,2025-06-04,2025-06-06,delivered,3231.43,debit_card,Pune
283,247,2022-03-13,2022-03-16,pending,826.08,credit_card,Bangalore
284,197,2025-11-06,2025-11-13,cancelled,2118.06,upi,Kolkata
285,92,2024-05-18,2024-05-20,returned,760.43,credit_card,Mumbai
286,251,2024-07-31,2024-08-06,shipped,1269.11,cash,
287,58,2024-01-02,2024-01-09,cancelled,1250.65,cash,Hyderabad
288,269,2025-03-11,2025-03-17,returned,201.05,upi,Mumbai
289,132,2025-08-30,2025-09-06,returned,4826.15,credit_card,Ahmedabad
290,224,2023-07-17,2023-07-22,pending,,cash,Chennai
291,9332,2022-07-18,2022-07-22,returned,327.98,,Kolkata
292,228,2022-11-07,2022-11-11,returned,2665.88,wallet,Delhi
293,272,2024-01-27,2024-02-04,cancelled,-3375.76,upi,Ahmedabad
294,193,2025-01-05,2025-01-07,shipped,493.93,cash,Kolkata
295,215,2025-05-12,2025-05-14,returned,3324.53,cash,Chennai
296,231,2022-11-18,2022-11-23,pending,26.65,cash,
297,115,2022-10-11,2022-10-13,returned,3001.85,,Surat
298,200,2025-02-04,2025-02-07,shipped,2294.27,credit_card,Ahmedabad
299,228,2023-05-11,2023-05-20,shipped,3210.48,credit_card,New York
300,267,2024-08-20,2024-08-27,returned,4788.3,credit_card,Pune
301,21,2024-01-15,2024-01-23,pending,2148.66,upi,Hyderabad
302,108,2023-06-26,2023-06-28,cancelled,2296.63,upi,
303,9901,2022-10-31,2022-11-06,delivered,2822.06,upi,Toronto
304,76,2025-05-29,2025-06-02,returned,149.74,cash,Bangalore
305,80,2025-04-17,2025-04-23,cancelled,,credit_card,Chennai
306,77,2023-07-24,2023-07-26,returned,3253.48,upi,Pune
307,169,2024-11-05,2024-11-14,returned,4234.56,debit_card,New York
308,117,2025-11-13,2025-11-23,shipped,1336.16,debit_card,Toronto
309,238,2022-07-21,2022-07-27,pending,3952.18,cash,Mumbai
310,58,2024-06-25,2024-07-05,shipped,3780.16,upi,Chennai
311,273,2023-05-25,2023-06-03,delivered,1550.93,cash,Delhi
312,156,2022-07-13,2022-07-22,delivered,4114.56,credit_card,Surat
313,80,2023-10-26,2023-10-29,returned,4263.26,upi,Chennai
314,156,2024-01-30,2024-02-05,pending,4147.86,cash,Toronto
315,234,2026-09-03,2026-09-08,returned,1481.04,wallet,Chennai
316,125,2022-11-25,2022-12-05,cancelled,2354.66,wallet,
317,176,2023-07-20,2023-07-25,cancelled,564.04,wallet,Hyderabad
318,225,2023-05-18,2023-05-23,delivered,2787.81,cash,Hyderabad
319,,2023-04-12,2023-04-17,cancelled,1284.24,wallet,Jaipur
320,290,2024-06-14,2024-06-20,returned,3952.79,credit_card,Toronto
321,45,2025-03-21,2025-03-25,shipped,3762.02,wallet,Jaipur
322,222,2022-02-13,2022-02-23,shipped,-4142.83,wallet,New York
323,295,2023-12-28,,returned,,debit_card,Delhi
324,162,2023-04-17,2023-04-20,shipped,2127.18,credit_card,
325,107,2024-02-19,2024-02-23,returned,1036.11,debit_card,Ahmedabad
326,184,2023-10-11,2023-10-13,pending,4000.96,credit_card,Chennai
327,223,,2025-08-30,,3255.66,debit_card,Bangalore
328,9610,2025-11-24,2025-11-28,shipped,4333.06,debit_card,Toronto
329,9208,2022-08-13,,pending,2024.23,credit_card,Bangalore
330,24,2025-01-09,2025-01-18,pending,857.0,cash,Jaipur
331,1,2023-09-30,2023-10-05,cancelled,649.71,wallet,Hyderabad
332,74,2023-04-07,2023-04-14,delivered,1418.68,wallet,Surat
333,,2022-09-27,2022-09-30,pending,2901.05,credit_card,Mumbai
334,9492,2022-11-28,2022-12-06,shipped,4289.83,cash,Chennai
335,264,2023-11-22,2023-11-27,delivered,1711.51,upi,Mumbai
336,65,2022-07-13,2022-07-15,returned,610.19,wallet,Jaipur
337,114,2022-02-04,2022-02-13,delivered,3008.67,wallet,Bangalore
338,85,2025-07-24,,cancelled,2708.7,cash,Ahmedabad
339,154,2022-01-01,2022-01-06,shipped,1051.69,debit_card,Bangalore
340,201,2025-04-26,2025-04-28,returned,1139.26,cash,Chennai
341,6,2025-07-28,2025-07-30,returned,3860.57,credit_card,Toronto
342,175,2023-07-12,2023-07-17,cancelled,573.06,credit_card,London
343,186,2023-05-10,2023-05-17,delivered,2114.15,upi,Chennai
344,43,2022-01-27,2022-01-31,cancelled,2933.06,cash,New York
345,56,2025-04-24,2025-04-26,returned,2882.37,credit_card,Toronto
346,9408,,2025-03-27,pending,-3348.65,credit_card,Chennai
347,177,2023-12-23,2023-12-31,shipped,3920.71,wallet,London
348,179,2022-12-19,2022-12-25,delivered,1765.51,cash,Ahmedabad
349,196,2023-02-19,2023-02-25,pending,1691.64,wallet,Jaipur
350,287,2025-01-07,2025-01-09,delivered,1001.11,upi,Pune
351,151,2025-06-10,2025-06-14,cancelled,2218.25,debit_card,Hyderabad
352,111,2026-09-14,2026-09-24,shipped,2421.53,wallet,Pune
353,187,2023-06-24,2023-06-28,shipped,1607.57,credit_card,Toronto
354,244,2025-01-01,2025-01-11,shipped,1146.84,credit_card,Ahmedabad
355,224,2022-05-13,2022-05-22,pending,2247.86,upi,
356,252,2024-06-01,2024-06-08,returned,1083.87,cash,Jaipur
357,162,2022-01-14,2022-01-20,shipped,2941.36,wallet,Bangalore
358,16,2025-08-22,2025-08-28,cancelled,454.64,upi,Chennai
359,221,2023-06-01,2023-06-08,pending,,wallet,
360,192,2022-07-15,2022-07-24,delivered,72.77,debit_card,Ahmedabad
361,112,2023-12-09,2023-12-12,shipped,3002.59,,Mumbai
362,62,2023-10-01,2023-10-04,returned,2954.63,wallet,Toronto
363,60,2025-10-01,,pending,715.49,wallet,Jaipur
364,165,2024-12-15,2024-12-24,shipped,1976.98,cash,Delhi
365,252,2022-08-02,2022-08-09,returned,1536.43,credit_card,Surat
366,293,2025-01-16,2025-01-17,pending,2676.12,cash,Jaipur
367,261,2024-01-30,2024-02-03,shipped,502.27,,Pune
368,60,2026-09-13,2026-09-19,pending,4922.17,wallet,Pune
369,159,2023-02-24,2023-03-01,shipped,-2051.93,,London
370,230,2022-09-21,2022-09-23,delivered,585.24,cash,Chennai
371,292,2023-06-20,2023-06-24,cancelled,4751.54,credit_card,Bangalore
372,35,2023-05-11,2023-05-14,shipped,2215.7,credit_card,Kolkata
373,129,2022-12-26,2022-12-27,shipped,1962.65,credit_card,Delhi
374,271,2023-08-13,2023-08-19,shipped,293.0,credit_card,Delhi
375,4,2026-07-28,2026-08-07,cancelled,607.01,upi,Pune
376,122,2025-10-30,2025-11-07,delivered,2400.85,cash,Bangalore
377,11,2024-06-03,2024-06-11,delivered,2057.75,cash,Ahmedabad
378,199,2024-08-07,2024-08-14,returned,674.24,cash,Chennai
379,73,2024-08-21,2024-08-26,delivered,4524.33,cash,Pune
380,227,2022-02-18,2022-02-21,shipped,1373.87,debit_card,Bangalore
381,250,2023-10-10,2023-10-19,pending,3679.23,upi,Kolkata
382,183,2023-02-20,2023-02-25,cancelled,4204.99,upi,Jaipur
383,78,2022-12-01,2022-12-11,shipped,2054.3,debit_card,Delhi
384,70,2024-02-20,2024-02-21,cancelled,2935.02,wallet,Kolkata
385,190,2022-05-22,2022-05-29,delivered,4584.65,credit_card,Toronto
386,214,2022-12-13,2022-12-22,pending,1408.43,upi,Pune
387,140,,2025-09-15,delivered,166.56,cash,London
388,193,2023-11-19,2023-11-26,cancelled,2041.9,cash,Delhi
389,9131,2024-11-08,2024-11-10,pending,,credit_card,Kolkata
390,37,2022-11-16,,shipped,3158.7,credit_card,London
391,2,2024-06-05,2024-06-06,cancelled,3587.73,upi,Surat
392,9180,2024-06-25,2024-06-29,pending,1323.68,debit_card,New York
393,152,2025-05-16,2025-05-20,delivered,2138.35,credit_card,Kolkata
394,31,2025-06-23,2025-07-01,delivered,69.87,credit_card,London
395,231,2024-01-04,2024-01-12,,1508.23,cash,Kolkata
396,207,,2024-08-10,delivered,718.99,debit_card,Mumbai
397,89,2022-11-06,2022-11-08,shipped,91.78,wallet,Hyderabad
398,256,2024-06-05,2024-06-13,cancelled,4845.81,wallet,Toronto
399,252,2022-01-27,2022-02-02,delivered,3155.99,debit_card,
400,229,2024-01-28,2024-02-03,cancelled,3444.53,wallet,London
